rank,topic,category,type,priority_tier,volume,top_matching_keyword,status
109,Skincare Tools (Gua Sha / Ice Roller / Face Massager),Other/Brand,New Product/Ingredient,P1,169300,guasha,Already Doing
110,Vlcc,Other/Brand,3rd Party Brand,P1,169300,vlcc,Already Doing
111,Versace,Other/Brand,3rd Party Brand,P1,168000,versace perfumes,Already Doing
112,Wishcare,Other/Brand,3rd Party Brand,P1,165000,wishcare,Already Doing
113,Adilqadri,Other/Brand,3rd Party Brand,P1,165000,adilqadri,Already Doing
114,Dark spots,Other/Brand,AEO Concern Topic,P1,161800,dark spot removal cream,Already Doing
115,Body Scrubs & Exfoliants,Body Care,Baseline,P1,159300,body scrub,Already Doing
116,Body Scrub / Exfoliator,Body Care,New Product/Ingredient,P1,157700,body scrub,Already Doing
117,Ajmal,Other/Brand,3rd Party Brand,P1,156100,ajmal perfume,Already Doing
118,Forest Essentials,Other/Brand,3rd Party Brand,P1,155600,forest essentials,Already Doing
119,Gillette,Other/Brand,3rd Party Brand,P1,146500,gillette,Already Doing
120,Eye Mascara,Eye Makeup,Baseline,P1,146300,mascara,Already Doing
121,Hair Masks,Hair Care,Baseline,P1,142800,hair mask,Already Doing
122,Mederma,Other/Brand,3rd Party Brand,P1,141100,mederma cream,Already Doing
123,Wax & Wax Strips,Other/Brand,Baseline,P1,139900,veet wax strips,Already Doing
124,Bblunt,Other/Brand,3rd Party Brand,P1,137500,bblunt,Already Doing
125,Vega (Appliances),Other/Brand,3rd Party Brand,P1,136800,vega,Already Doing
126,Indus Valley,Other/Brand,3rd Party Brand,P1,135800,indus valley,Already Doing
127,Hyphen,Other/Brand,3rd Party Brand,P1,135000,hyphen,Already Doing
128,Traya,Other/Brand,3rd Party Brand,P1,135000,traya,Already Doing
129,Man Matters,Other/Brand,3rd Party Brand,P1,135000,man matters,Already Doing
130,Vwash,Other/Brand,3rd Party Brand,P1,135000,vwash,Already Doing
131,Bombay Shaving Company,Other/Brand,3rd Party Brand,P1,133300,bombay shaving company,Already Doing
132,Under Eye Cream/Serum,Eye Makeup,New Product/Ingredient,P1,129200,under eye cream,Already Doing
133,Combination skin,Other/Brand,AEO Concern Topic,P1,128100,face wash for combination skin,Already Doing
134,Hand Wash,Body Care,Baseline,P1,128000,hand wash,Already Doing
135,Frizzy hair,Other/Brand,AEO Concern Topic,P1,125700,hair mask for frizzy hair,Already Doing
136,Faces Canada,Other/Brand,3rd Party Brand,P1,124600,faces canada,Already Doing
137,Hair Extensions,Other/Brand,Baseline,P1,120900,hair extensions,Already Doing
138,Sunscreen for Men,Skincare,Men's Grooming,P1,119600,sunscreen for men,Already Doing
139,Sulphate free,Other/Brand,AEO Concern Topic,P1,114600,sulphate free shampoo,Already Doing
140,Face Sunscreen,Skincare,Baseline,P1,111500,best sunscreen for face,Already Doing
141,Oziva,Other/Brand,3rd Party Brand,P1,110000,oziva,Already Doing
142,Beardo,Other/Brand,3rd Party Brand,P1,104600,beardo perfume,Already Doing
143,Bvlgari,Other/Brand,3rd Party Brand,P1,104300,bvlgari,Already Doing
144,Lux,Other/Brand,3rd Party Brand,P1,101900,lux body wash,Already Doing
